"","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatine..132.1...90.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"41","-0.134554152"," 0.268940931"," 0.092016307"," 0.3323775391","-0.0470846886"," 0.05153624"," 0.2892630203","-1.14194524","-0.2727032914"," 0.721179787","-1.171721342"," 0.644083599"," 0.206407538","-0.010388330"," 1.29014076","-0.371700067"," 0.740848374","-0.049119441"," 0.242017178"," 0.4159112797","-0.338512116"," 1.723049096"," 0.496023689"," 0.77635747","-0.08263268"," 0.471511837"," 0.574621542","-0.047926888","-1.255632303"," 0.2823192466"," 0.973047859"," 1.101051323"," 0.157182536"," 0.293096716"," 0.24619448","-1.804660401"," 0.179255253"," 0.829999299","-0.05315189","-0.56557553","-0.631821971"," 0.062568371"," 0.731456109","-0.42602119","-0.24653823","-0.226248908"," 0.169007109"," 0.863407407","-0.588330223","-0.07619011","-0.1891661144","-0.0107598740","-0.191634349"," 0.346124283"," 1.20533021"," 1.148112192","-0.22511953","-1.119056079"," 0.06820436","-0.54184247","-0.074175367"," 0.201793315","-0.98489831"," 0.65819524"," 0.279941931","-1.318224577"," 1.363898068"," 0.409052450","-0.118293300","-1.2362758120","-1.745191016"," 1.796168636","-1.054339237"," 0.5747191505"," 0.685845498","-1.242360945"," 0.130995179","-0.545736442","-0.190383843"," 0.922600237","-0.510798629"," 0.33696537","-0.22702330"," 0.04088971"," 0.3811031029"," 5.682920e-01","-0.1204917214"," 0.37444372","-0.313814398"," 1.596636838"," 0.098675415"," 0.556940401","-1.19159891"," 0.386090194"," 0.187488138"," 0.20932943"," 0.746366383"," 0.253894496","-0.160141896"," 0.3496843516"," 1.051112132","-0.0602410547","-0.700566563"," 0.606597137"," 0.984038012"," 0.34670752","-0.1819805375","-0.0818354369","-0.289770546","-0.14358577"," 0.651369638"," 0.931300888"
"42"," 0.219782508","-1.425533176","-0.382951131","-0.2860017706","-0.5566483747"," 0.23742532"," 0.4884803643"," 0.09252232","-1.4754432116"," 0.248641829","-1.382139127"," 0.550455203","-0.016911049"," 0.193243635"," 0.32007861","-0.329038814"," 1.014416116"," 0.364076677"," 0.435322294"," 0.0181035033"," 0.707087974"," 0.488583296","-1.145176463","-1.46243688","-0.63087307"," 1.037136267"," 0.286317308"," 1.160096037"," 1.199773464"," 0.8294089538","-0.792868517"," 0.213417441","-0.557558956"," 0.543853478","-0.04472093","-0.196123109"," 0.521119371"," 0.351889255","-0.18397618","-0.33369142","-0.641857371"," 2.069699133"," 0.146446697","-0.34643904","-0.06291009","-0.485450745","-0.383067576"," 1.022697784","-0.176813981"," 0.00750418"," 1.1301665468"," 0.1646964918"," 0.156455903"," 0.150323230"," 1.12497350"," 0.508951546"," 0.88139831","-0.718503267"," 0.66748132","-0.79554551","-0.003352453"," 1.322192962","-0.49537793"," 1.47545998"," 0.235365041","-0.545747484"," 1.532557496","-0.421506850"," 0.703230971","-2.4391298075","-1.606467731"," 1.518149154"," 1.126258275","-1.1126388260","-0.064383740","-1.580956458","-0.084245194"," 1.124576719"," 0.816258580"," 0.442989115","-0.870686653"," 0.72418391"," 0.29746882","-0.05899674"," 0.5997452246","-5.017863e-01","-0.0835369308","-0.31107562","-0.414218477","-0.028926085"," 0.607363145"," 0.511147611","-1.89986019","-1.772435550"," 0.524315726"," 0.18132447","-0.653346841","-0.433414822"," 1.206284185"," 0.7341000381"," 0.407660673","-1.2798343706"," 1.900692223"," 2.133091360"," 1.010075919"," 0.94354078","-1.2650581536","-1.1242913621"," 1.070937313","-0.59336122","-0.294990020"," 0.845495038"
"43"," 2.321151063"," 1.976406992"," 0.095195638"," 0.8012873109"," 1.1510507259"," 3.02654094"," 1.6567957413"," 0.38424810"," 0.5807849298"," 0.185674380","-0.611502628"," 0.264889169"," 0.448404347"," 1.828179558"," 1.09244012"," 0.762304887"," 1.651579461"," 1.757020032"," 0.898931005"," 2.8922706186"," 2.616867922"," 2.971031054"," 1.101321392"," 1.08353158"," 1.98008715"," 1.957677034","-0.002790062"," 1.252074237"," 1.694342781"," 2.5782874291"," 0.746588739"," 1.777426796","-0.117115637"," 0.649744526"," 2.27129736"," 1.040096012"," 1.819852537"," 1.905901765"," 1.41232840"," 1.19345975"," 0.880149516"," 3.352075119"," 0.480405410"," 1.24306569"," 0.97504247"," 0.832859689"," 1.410769094"," 3.169301422"," 0.578139065"," 1.29213946"," 1.9417693168"," 1.8211358335","-1.307357709"," 1.888978770"," 1.55536349"," 1.722773119"," 1.64133923","-1.056054313"," 0.06286469"," 0.85057513"," 1.054352014"," 1.088740398"," 1.25085311"," 0.48628707"," 0.171258909","-0.694219486"," 0.658149678"," 1.069674482"," 0.812269909","-0.3476704476"," 0.350980433"," 1.429335077"," 0.864661722"," 0.4146201635"," 0.359394051"," 0.552059888"," 1.232339270"," 0.522881087"," 3.002955279"," 1.641896914"," 0.699316853"," 0.49241796"," 1.66379541"," 1.84857830","-0.5487457297"," 1.169493e+00"," 0.8439026810"," 1.69937878"," 1.026750880"," 3.843556815"," 1.681329582"," 1.075024981"," 1.36765554"," 0.369081433"," 0.217066445"," 1.71071617"," 0.682405299"," 2.792607281","-0.612818172"," 2.1146563232"," 2.174778064"," 2.0521191713"," 1.677334550"," 0.370398183"," 1.071963028"," 1.95577018"," 1.3912716334"," 0.9978440203"," 1.486315442"," 1.60850322"," 0.558991981"," 0.803379899"
"44","-0.690995952"," 1.179745924","-1.116149191"," 0.8569780095"," 0.2920386162"," 0.88028904"," 1.2019715598","-0.64907420","-0.1940647143","-0.206023339","-0.926526518"," 1.556084957"," 0.110334440"," 1.645043378"," 1.08029208"," 1.236528985"," 0.898431416"," 0.704358174","-0.484562995"," 1.8321199273"," 0.575293089"," 1.984663144"," 0.898574449"," 0.44855337","-0.33932517"," 1.175279794","-0.493390647","-0.253224431"," 0.228376091","-1.5698178090","-0.406274993"," 0.959190442","-0.454518331","-0.696183050"," 0.89200480"," 0.242721280","-0.086598056"," 1.446130155"," 0.70381919","-0.11134054"," 0.153624773","-0.274970934"," 0.472802279"," 0.26747972","-0.46037134","-1.047432445"," 0.829917186"," 0.973285439"," 1.143251341"," 0.52245422"," 0.9223833742"," 0.2840818309","-0.401138425"," 0.189515963"," 0.40282778","-0.264120886"," 0.34881446","-1.424854995"," 0.48357927"," 0.35018066"," 0.035850251"," 0.742604478"," 0.16303843"," 1.05879681"," 0.099322054","-1.810081021"," 0.267110803"," 0.986641877"," 0.895220676","-0.6483547972","-0.739801584","-0.784642732","-0.537345795"," 0.8561744438"," 0.460367278","-1.034173260"," 0.376025390"," 0.822365056"," 0.485852035","-1.061663980","-1.074660976"," 0.98581831"," 0.60410554"," 0.31268856"," 0.4882713323"," 1.120447e+00"," 0.1667253162","-1.33104207"," 0.105294151"," 0.636379011"," 2.129537731"," 0.932678605"," 1.49376187"," 0.401785869"," 1.096298120"," 1.30791796"," 0.102413430"," 1.459063337"," 0.756606758"," 0.1375637419"," 0.725042751"," 0.7103597282"," 1.048490274"," 0.667694267"," 0.819529898"," 0.19004425"," 0.4223352810","-0.0415812400"," 0.863273412"," 1.16189462"," 0.234973470"," 1.224947912"
"45"," 0.821023170"," 1.374725575"," 0.001457927"," 0.7820268362"," 0.9259564999"," 0.49914605"," 1.1643296891","-0.09056432","-0.6955988385"," 0.536898433","-0.884985047"," 0.862447765"," 0.117531517"," 0.463726524"," 0.03563790"," 0.278747386"," 0.668885832"," 0.723595918"," 0.681506136"," 0.9159292883"," 0.185479185"," 1.830375137"," 0.720803514","-0.54441807"," 1.35297439"," 1.610152736"," 0.347895309"," 0.356643590"," 0.345451990"," 0.2032397160"," 0.316380196"," 0.719130610"," 1.000700826","-0.510751838"," 0.92443548"," 0.442783568"," 0.119829096"," 0.977164296"," 0.38767832"," 0.77862009"," 0.328200035"," 0.220043411"," 0.237216879"," 0.78627216"," 0.31867779","-0.071768827"," 0.669542596"," 1.287488985"," 0.413830418"," 0.10456611"," 0.8087700674"," 0.7910998007"," 1.599420632","-0.080060174"," 0.74090095","-0.055270447"," 1.63089779","-0.879890894"," 0.33456058","-0.37890048","-0.732584430"," 0.386719394","-0.02052822","-0.44371027"," 0.884705516","-0.616005922"," 1.035027844"," 0.644611162"," 1.081404005"," 0.2085253768"," 0.220267481","-0.218643124"," 0.786010024"," 0.5713321712"," 0.113651754","-0.196443519"," 0.881620546","-0.464201524"," 0.369554814"," 0.076770778","-0.009809864"," 0.21898397"," 0.01380385"," 0.67328330","-0.5442374099"," 9.033345e-01","-0.0770674969","-0.97731076"," 0.124202959"," 1.809854562"," 0.377202663","-0.553429061","-0.11103728"," 0.013521363"," 0.439733357"," 0.13467509"," 0.030282448"," 0.184785148"," 1.609691168","-0.3032049939"," 2.240365160"," 0.9716749838","-0.407170400"," 0.657811869","-0.347945201","-0.24951795"," 0.0938338571","-0.2403770053"," 1.347215844"," 0.29693175","-1.403021452","-2.240361208"
"46"," 0.656192605"," 0.791222123"," 1.875584482","-0.9863024259"," 0.7277685707"," 0.43905238"," 0.6101470169"," 0.85681928"," 0.3207481809"," 0.820908017","-1.178969880"," 0.878126865"," 0.819047406","-0.063289927"," 1.61409739","-0.030834391"," 1.367418885"," 0.824037503","-1.626347196"," 0.7112680834","-0.578833655"," 1.005569569"," 0.837245466"," 0.15653646"," 0.59618504","-1.463273941"," 1.139082374"," 0.613781422"," 1.165090006"," 0.1094014693","-0.733502713"," 0.359082151","-0.126723105"," 0.759827591"," 0.86979975"," 1.274667024"," 0.650982702"," 0.668333253"," 0.48996096"," 2.16689985","-0.177081028"," 0.337058968"," 2.267410129"," 0.10295086","-1.17468709","-1.367420530"," 0.484210478"," 0.522632275","-0.093982125"," 1.53985218"," 0.7432072207","-1.0428103954"," 0.372899983"," 0.550920025","-0.24703930","-0.928489271","-0.47773045","-0.031787207","-1.30462228"," 0.61874538"," 1.583978134","-0.276840025","-0.19240923","-0.41019257"," 0.274177376","-0.177510036"," 1.930307595"," 0.003472855"," 0.375282966","-0.7153112238"," 0.766983161"," 0.100528286"," 0.200884426"," 0.6831177483"," 2.280671001"," 1.327955549"," 0.761062375","-0.428779733","-0.703453568"," 0.708958001"," 0.384233483","-0.37909872"," 1.11461361","-0.54917529","-0.0004833666"," 2.288985e-01"," 1.2587618041","-0.29238945","-0.188685665"," 0.275631776","-0.082725905"," 0.861932266"," 0.57377908","-0.541319243","-0.604746047"," 0.33393812"," 0.943545601"," 0.653070099"," 0.672962440","-0.1690074466"," 1.078643798"," 0.1418680164"," 0.452339050","-1.771632667","-0.578460956","-0.23600757"," 0.4857721539","-0.0681315390","-0.254121848","-0.09440957"," 0.755458350","-0.419561976"
"47"," 1.513450541","-0.666567030"," 1.311857120"," 0.3663658215","-0.2912796069"," 1.69918033"," 1.2685591386"," 0.84342381","-2.1996225612"," 0.866349701","-0.859562577"," 0.586323595"," 0.868224158"," 0.555381507"," 1.95619039"," 0.101804396"," 1.189007976"," 1.366727645"," 0.891008530","-0.0698554277"," 1.332823285"," 1.568290185"," 2.151414467"," 1.65476426","-0.78514669"," 2.903748590"," 0.692947441"," 0.567322748"," 1.757513069"," 1.9661621833"," 3.236039993"," 1.763944022","-0.815308904"," 1.394104494"," 1.09127171","-0.226737596"," 0.747552601"," 1.505663967"," 0.15825060"," 1.23701661"," 0.409165316"," 0.273818095"," 1.618702225"," 0.53687359"," 0.10447666"," 1.441081365"," 0.705794325"," 1.913937029","-0.121372392"," 2.06700941"," 5.3175908658"," 1.2642951867"," 0.399735455","-0.427119475"," 0.36048977"," 2.374123894","-2.61752331","-0.902188910","-0.41621587","-0.13116996"," 1.061346739"," 0.827768749"," 0.84725396"," 3.11975465"," 1.837735075","-1.636102809"," 1.797966030"," 1.196905932","-2.008648578"," 1.4884161452"," 0.925674398"," 1.393873113","-0.278861273"," 1.3025187160"," 1.210647233"," 0.565595402"," 1.967696850"," 1.160996933"," 1.425579838"," 3.108327962","-0.660611092"," 1.12436363"," 0.65429731"," 2.08525946"," 1.9784655860"," 1.316356e+00"," 2.0826888296"," 1.60011630"," 0.519559924"," 2.158308149"," 0.284569520"," 2.507742874","-1.10513293","-0.636989646"," 0.729700900"," 1.86503580"," 0.251206657"," 1.149791380"," 0.447953162"," 1.0043230713"," 1.042244216","-0.7317675336","-0.627152850"," 3.189648185"," 0.816423129"," 1.34605387"," 0.7090816696"," 1.4116656532","-2.179556054"," 0.05121958"," 0.986085255"," 0.630154157"
"48","-0.013087644","-1.164373763"," 0.478718974","-0.9640083921","-0.1750404685"," 0.34886191","-0.1450649303"," 0.69275551"," 0.2272848321"," 0.596135676","-1.013242611"," 0.616236952"," 0.377126404","-1.386664762"," 1.08608158"," 0.630983053"," 1.253391465","-0.230738807","-0.826829722"," 1.1595055667"," 0.483057039"," 0.999011882"," 0.814698394","-0.09219731"," 0.71563032"," 0.340732693"," 0.201365144"," 1.900687850"," 0.974273869","-0.6972520417","-1.030804971","-0.776634184","-0.930727562"," 1.297117883"," 0.77336838"," 0.042648540"," 0.197609672"," 0.406528168"," 0.08472516"," 0.02526446","-0.405706966"," 0.133819352"," 0.950469110","-0.20938669","-0.41719788","-0.659792489","-0.245753661","-0.328608516"," 0.440381310"," 1.29902265","-0.1817558491","-1.3098271286","-1.015261948"," 0.531592619"," 0.12363338","-0.637786542"," 0.48050622","-0.233483527","-0.62407915"," 0.71020687"," 0.413857221","-0.116384122","-0.45598099","-0.26727530","-0.259660039"," 0.004453398"," 0.976898675","-0.322237861"," 0.031396122"," 0.9124244175"," 0.535462637","-0.409860441"," 0.369160679","-0.4892194040"," 0.851281118"," 1.258515861","-0.343536185","-0.609596411"," 0.272470826"," 0.101215669"," 0.373424934","-0.60262380"," 0.62120013"," 0.61715542"," 0.6527527815","-5.403313e-01"," 1.5062809252","-1.16461282","-0.537315610","-0.315175100"," 0.437185144"," 0.098166112"," 0.42265235"," 0.288436531","-0.871845650"," 0.09131968","-0.348335296"," 0.506586270"," 0.114123697","-1.5231938585"," 0.298457893","-0.7842730655"," 0.146863322"," 0.836792125"," 0.173297152","-1.27922208"," 0.3483913360","-0.0008475277","-0.382342992","-0.82421580","-0.349530467"," 0.465557733"
"49"," 0.938814616","-1.273464813"," 0.666566757"," 0.4836732002"," 0.3319124578"," 0.70130715"," 0.5632433754","-1.06011028","-1.9895709652","-0.724271439","-0.864384965"," 1.507547214"," 0.117667550","-0.085751805"," 0.84104912","-0.239307215"," 0.677545530"," 1.006089580"," 1.491415895"," 0.4429239650","-0.853454691"," 1.938724348","-1.383978416","-0.31773348","-1.53706164","-0.046560250","-1.189047077"," 1.382564519","-0.130423808"," 2.5323688797","-0.074366379"," 1.167389506","-0.314083672"," 1.155849335"," 0.92150064","-2.522738370"," 0.355901185"," 0.891141683"," 0.32970260"," 0.90042226"," 0.328971242"," 0.294031038"," 1.751723046"," 0.29377562"," 0.46288870"," 0.747283313"," 0.678930066"," 1.179608092","-0.034008342"," 2.13687572"," 0.8743479418"," 0.5511943648"," 1.089695435"," 1.438980328"," 0.69910212"," 0.813118438","-0.06492250","-1.114783015","-1.06047496"," 1.14819633"," 0.895878054"," 1.320453642","-2.49962511"," 3.52515240","-0.436651560","-1.030911950","-0.249951400"," 1.031162223","-0.908583483","-2.1333774214","-1.851913884"," 0.286198636","-1.459575846","-0.6504640448"," 1.637863844","-1.752459416"," 0.010193716","-0.941037861","-1.014151792"," 0.541964037"," 0.396844421","-0.01643895"," 0.06681978"," 0.38877398","-0.0975234721"," 1.029856e+00"," 2.5739617354"," 1.30913911","-0.472182359"," 0.927635596"," 0.233451322","-0.297771439","-1.14849526"," 1.168099025"," 1.190583454"," 1.67987979","-0.423360333"," 0.006243497","-0.294408189","-0.0610536885"," 0.707747759","-1.3725905580","-1.638985396"," 2.197191415"," 0.114422676","-0.31718465"," 1.0129066653","-0.4856309282","-0.487919465"," 1.50603940"," 0.101667805"," 0.185828529"
"50"," 0.615350651","-0.525890825","-1.443418321","-0.1194132112","-0.0407902312"," 0.35018037"," 0.3769104047","-0.96220859","-0.6383695399","-2.683041998","-1.303740367"," 0.291066862","-0.142060674"," 0.605873589"," 0.25350910","-0.167771855"," 0.507251403","-0.357752080","-0.999301376"," 0.8738706477","-0.310820208"," 2.017293972","-1.359990849"," 0.31977710"," 0.14890016"," 0.349216833","-2.531394439","-0.434495297","-0.213816987","-0.1448473987","-0.200523807","-0.670628151"," 0.062045060"," 0.138648596"," 0.11716103","-1.479428316","-0.466644237","-0.703534336","-0.50435926"," 0.49848135","-0.678802582"," 0.037543198"," 0.350965613","-0.24044037"," 0.11222075"," 0.728656247"," 0.185929144"," 2.038197783","-0.075924509"," 0.11430188"," 0.7987494117","-0.8948304938","-0.147940718"," 0.668788468"," 1.09535208"," 0.391808106"," 0.83724783","-0.738070346","-1.25031634"," 0.21868614","-0.030144556"," 0.443502510"," 0.12941797"," 0.28948248"," 0.785653167","-0.784023416"," 0.174411795"," 0.406308303"," 1.018345099","-0.9938280996","-1.301310321"," 0.244400112","-0.586056717","-1.4478547721"," 0.408565771","-1.868887440","-0.135668510","-0.827191289","-0.052393857"," 0.444532205","-1.171221204","-0.05854170"," 0.39892183","-1.10790761","-0.4080401921"," 8.357497e-01","-0.5049368109","-0.47364338","-0.711354185"," 1.052501578"," 0.972275167","-1.320341811","-2.18187808"," 0.415238482"," 0.762368843"," 0.06955001","-0.213035171"," 0.222436815"," 0.152932787","-0.3895488429"," 0.063115472","-0.5194515852","-0.534736936","-0.146594410","-0.183220599","-0.18903182"," 0.3474365486"," 0.1140273360"," 0.468898892","-0.42669316"," 0.800623147"," 0.031876055"
"51"," 0.805652090"," 0.547277176","-0.391090308","-1.6263683981"," 1.3153776961","-0.80541790","-0.0645180673","-1.29511887"," 0.1006259224","-0.271315422","-1.165439074"," 1.450385165","-0.030271477","-0.285455089"," 1.23076137","-0.605397787","-0.080828615","-0.300244763","-0.778050488"," 1.3013452968","-0.610803504"," 1.406828010","-0.423011962"," 0.02023352"," 0.88454030"," 1.065821435","-0.479725105"," 0.885005174"," 0.005485373"," 0.5200050358"," 1.450365333","-0.012234369","-0.541128209","-0.209080597","-0.61916662"," 0.076866391"," 0.083711094","-0.359781271","-0.52632575","-0.63296860","-0.821924553"," 0.973055956","-0.677460596","-0.60374391","-0.55263357","-0.162275867"," 0.805475762"," 1.011420593","-0.534361110"," 0.66018890"," 0.6841632875","-0.4010733920","-0.035751477","-0.869920053","-0.03368015","-0.092515778"," 1.11831575","-0.202868874","-1.77491454","-0.20693481","-0.912119190"," 0.609648524"," 0.58681487"," 0.89425979"," 0.296889844"," 0.168699697"," 0.766828317"," 0.100617828"," 0.385039120","-0.4995377974","-0.691973911"," 1.327634341","-0.455425933","-0.5609881298","-0.654103442","-1.390513092"," 0.263962608","-1.474561521","-0.953195998"," 1.179512512","-0.874631237","-0.55355490"," 1.45210873"," 0.51766028"," 0.1584245788"," 2.774426e-01"," 1.1236870734","-0.49730289","-1.053811174"," 0.222157032"," 1.391591782"," 0.214661480","-0.34653277"," 0.061646809","-0.014762387"," 0.09796643","-0.208512052","-0.766270008"," 0.780611492","-1.3983495775"," 0.570727851"," 0.5709472926","-1.366537945"," 1.195720297"," 0.277820242","-1.00904945","-0.3680281698"," 0.1765073900"," 0.855814477"," 0.59409818"," 0.645833852","-0.062554898"
"52","-0.801377480","-0.796259814"," 0.247042636","-1.2710739344","-0.0530079517","-0.49578004","-0.4751912336"," 0.54890276"," 0.4129749320"," 0.027093834","-1.125671141"," 0.226050186"," 0.106924849","-0.050493813"," 1.35191147","-0.801913276","-0.879103711","-0.250597234","-0.360503206","-0.4282462025","-0.905824116"," 0.709778710"," 0.015213773","-0.51124026","-0.15730058"," 0.169920472","-0.067612821","-0.906302875","-1.039311761"," 0.1905962890","-0.027173934","-0.775878476"," 0.053638987"," 2.177296587","-0.27527548"," 0.033707839"," 2.370657843","-0.132300361","-0.74755569","-0.65917802","-0.861328044"," 0.903571040","-0.176754722","-0.81466171","-1.20039957","-0.009626006"," 0.095276785"," 0.408893516","-0.671514181"," 0.04693144"," 0.1821597611"," 0.0134102379","-0.026698869","-0.832383356"," 0.38027872","-0.254103110","-0.28564923","-1.712651906","-0.65414279"," 1.15808805","-0.372517837","-0.459213791","-1.12591774","-0.57940812","-0.228159421","-1.236754886"," 0.287484642","-0.049988199","-0.373452784"," 0.2121274965"," 0.356507334","-1.012837767","-0.803075772"," 0.4072579103","-0.390746862"," 0.916234742"," 0.799413505","-0.851192507","-0.994786321","-1.460823170","-0.297866669","-0.08778692"," 0.04471384","-0.93221816","-0.1303394484","-2.500633e-02","-0.1606214217"," 1.44176831","-0.818540694"," 0.484302912","-0.901715301","-0.693264610"," 0.34161577","-0.485587078"," 0.352949269","-0.10927338","-0.834236032","-0.768708161"," 0.556978514","-0.5889712728","-0.280460355","-0.7539243500","-1.476790664","-0.806649454","-0.250676401","-0.55637545"," 0.6750799075","-0.0369065764"," 0.009096961","-0.52280097","-0.679808604","-0.570218921"
"53","-0.801229466","-0.177175318","-0.555277726","-0.6159681384","-0.6618769788"," 0.04151134","-0.7923434834","-0.70410412"," 0.8612341848"," 0.004483334","-0.388011096"," 0.397279377"," 2.956354012","-0.245551030"," 2.40594418","-1.139387935"," 0.039293269","-0.306557008","-0.443421968","-1.0289622252","-0.322749135"," 1.301014682"," 0.804362653"," 0.50913934"," 0.25175515"," 1.553640558"," 0.101335684"," 0.086591736","-0.289547680","-0.5018433034","-0.358278285","-0.487834192"," 0.674763926","-1.712793287","-0.48210916","-1.022838884","-0.896015852","-0.341150103","-1.02222755","-0.42049139","-1.026637317","-0.094264000","-1.045876865","-0.34096947","-1.95375006","-1.515946227","-0.375095420"," 0.335611510","-1.169337724"," 2.23628408","-0.6147192209"," 0.9411632549"," 1.497809473"," 0.086186825","-0.30665990","-1.801345056","-0.77574618","-1.305143238","-0.87552944","-0.60012014","-1.130609135"," 1.991167605"," 2.23906730"," 1.08982256"," 0.173218518","-1.825022139","-0.692646647"," 0.050742124","-0.168863723","-1.8580320291","-0.846480358"," 0.073781494","-0.674519151"," 0.0424472334","-0.952561769","-0.846970345","-0.613151465","-0.207045873","-0.210606023"," 0.097899238","-0.476703313"," 2.33389475"," 0.06085684"," 1.21791699"," 1.2150504658"," 1.394181e-01"," 3.0617013646","-0.85194148","-0.255352113"," 0.244792780","-1.026871219","-0.276107495"," 0.95054275"," 0.979990379"," 0.462884526","-0.36957812","-2.156657208"," 1.360021552"," 0.951661564"," 0.3174865439","-1.976496882"," 0.2936927625","-0.587261629"," 0.383746043"," 0.083974787"," 0.47938931","-0.4617740675"," 0.4457194645","-0.478015242"," 1.07961016","-0.026560892"," 0.170262122"
