"","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatine..132.1...90.0.","Creatinine..114.1...44.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"109","460384.5","31187.81"," 113319.53","17924.823"," 89054.02","370444.6"," 85878.66"," 496886.70","1431978.9"," 579223.5"," 426089.283"," 39610.198"," 286779.69"," 8727833","104429.16","1817067"," 42592.15","252271.5"," 79534.316","12773946"," 625097.0"," 811425.2","32662886"," 96695.68"," 73916.83"," 6720093"," 710426.4"," 5610338"," 4094303","11436701","  26113.65"," 6677.667","215821.4","76683.790"," 10811.744","1037626.8"," 923729.7","  21891.63","203953.4","349743.2","174687.13","1525593.1"," 226029.94","4771924","758981.9","28680.84","131631.78","71760851"," 976488.4","26369283"," 540561.8"," 82706.46"," 185390.8","146990.90","238707.58","  155581.114","  19890.480","23841.55","108721.945","14904168","1104681.2","1183770.6","1344904.7","2720680.7","  48603.67"," 118709.65","308850.304"," 33775.63","36397768","18141408"," 36507.168"," 667543.2"," 69010.09"," 9537700"," 7704418","2967606","22161389"," 66409.28"," 867617.1","1263557.0","16078.836"," 139561.4"," 45732.003"," 60219.44","2328563","  54342.30","125174.65"," 395687.6","100176.96","165904.78","10383149","42988555"," 9046.936","329314.09"," 71570.27","269514.28"," 92817.12","51447.231","3623209","29596537.8"," 57115.84","2501619","1613650.9","195143.9"," 2181805.5","3229726.2","1915101","57065957","12498.132","2042026"," 1716714.3","  14186.858"," 63077.41"
"110","460384.5","28680.84"," 226029.94"," 6677.667"," 96695.68","286779.7"," 76683.79"," 252271.47","1817066.5"," 496886.7"," 100176.963"," 33775.632","6720092.70"," 5610338"," 57115.84","1344905"," 39610.20","203953.4","104429.164","12773946"," 426089.3"," 811425.2","36397768","113319.53","118709.65"," 7704418"," 758981.9"," 8727833","22161389","10383149","  51447.23","14186.858","185390.8","48603.666"," 17924.823"," 976488.4"," 667543.2","  16078.84","215821.4","269514.3","125174.65","1037626.8"," 329314.09","2501619","710426.4","21891.63","131631.78","71760851","1431978.9","29596538"," 579223.5"," 73916.83"," 349743.2","139561.41","155581.11","   82706.457","  19890.480","31187.81"," 69010.087","11436701","1183770.6"," 923729.7","1525593.1","1716714.3","  89054.02"," 108721.95","174687.132"," 54342.30","42988555","26369283"," 42592.153"," 867617.1"," 63077.41"," 9537700"," 4094303","1915101","14904168"," 45732.00"," 625097.0","1104681.2","10811.744"," 308850.3"," 23841.547"," 79534.32","3229726","  85878.66","146990.90"," 370444.6","395687.64","165904.78","18141408","32662886"," 9046.936","540561.79"," 60219.44","238707.58"," 71570.27","36507.168","2042026"," 4771923.9"," 92817.12","2328563","1263557.0","195143.9"," 3623209.4","2967606.0","2720681","57065957","12498.132","2181806"," 1613650.9","  26113.646"," 66409.28"
"111","370444.6","21891.63"," 185390.77","14186.858"," 96695.68","349743.2"," 76683.79","1344904.67","1915101.2"," 460384.5","  71570.274"," 26113.646"," 146990.90"," 5610338"," 45732.00","2181806"," 28680.84","226029.9"," 60219.439","14904168"," 625097.0"," 758981.9","36397768"," 82706.46","100176.96"," 6720093"," 579223.5"," 8727833"," 7704418","12773946","  63077.41"," 6677.667","215821.4","19890.480"," 48603.666","1037626.8","1263557.0","  16078.84","238707.6","395687.6","165904.78","1183770.6"," 329314.09","2328563","667543.2","31187.81","131631.78","57065957","2967606.0","29596538"," 426089.3"," 66409.28"," 286779.7","203953.43","139561.41","  252271.466","  36507.168","39610.20"," 51447.231","18141408","1613650.9"," 710426.4"," 976488.4","1525593.1","  92817.12"," 540561.79","195143.868"," 23841.55","26369283","22161389"," 42592.153"," 867617.1"," 85878.66","11436701"," 3623209","2042026","42988555"," 73916.83"," 811425.2","1431978.9","10811.744"," 496886.7"," 33775.632"," 79534.32","2720681"," 113319.53","125174.65"," 308850.3","108721.95","174687.13","10383149","32662886","12498.132","155581.11"," 57115.84","118709.65"," 89054.02","54342.302","3229726"," 9537700.2"," 69010.09","1817067"," 923729.7","269514.3"," 1716714.3","4771923.9","2501619","71760851"," 9046.936","4094303"," 1104681.2","  17924.823","104429.16"
"112","625097.0","31187.81"," 226029.94","10811.744"," 92817.12","349743.2"," 71570.27"," 146990.90","1525593.1"," 667543.2","  16078.836"," 60219.439"," 155581.11"," 8727833"," 89054.02","1716714"," 33775.63","203953.4","113319.532","26369283"," 496886.7","1431978.9","42988555","131631.78"," 69010.09"," 9537700"," 923729.7","12773946"," 4094303","14904168"," 118709.65"," 9046.936","252271.5","19890.480"," 57115.836","1104681.2"," 395687.6","  28680.84","215821.4","286779.7","108721.95","1263557.0"," 238707.58","2328563","758981.9","21891.63"," 42592.15","71760851","2181805.5","32662886"," 540561.8"," 51447.23"," 426089.3","195143.87","174687.13","  460384.472","  85878.656","23841.55"," 79534.316","18141408","1183770.6","1613650.9","1037626.8","3229726.2"," 811425.23"," 100176.96","269514.283"," 45732.00","36397768","22161389"," 48603.666"," 976488.4"," 66409.28"," 7704418"," 6720093","1817067"," 5610338"," 54342.30"," 579223.5"," 867617.1","14186.858"," 308850.3"," 36507.168"," 76683.79","2967606"," 104429.16","125174.65"," 370444.6","329314.09","165904.78","11436701","29596538"," 6677.667"," 12498.13"," 63077.41","185390.77"," 96695.68","39610.198","2042026","  710426.4"," 82706.46","2720681","1344904.7","139561.4","10383149.1","4771923.9","2501619","57065957","17924.823","1915101"," 3623209.4","  26113.646"," 73916.83"
"113","496886.7","36507.17"," 540561.79","10811.744"," 89054.02","349743.2"," 71570.27"," 125174.65","1263557.0"," 579223.5","  26113.646"," 33775.632"," 118709.65"," 6720093","174687.13","1817067"," 45732.00","203953.4","113319.532"," 8727833"," 710426.4","1431978.9","26369283","108721.95"," 85878.66"," 7704418"," 811425.2"," 9537700","14904168","11436701"," 104429.16","12498.132","165904.8","69010.087"," 14186.858","1037626.8","1344904.7","  28680.84","195143.9","329314.1","146990.90"," 976488.4"," 252271.47","1915101","625097.0","31187.81","139561.41","57065957","2328562.6","29596538"," 370444.6"," 66409.28"," 460384.5","286779.69","226029.94","  269514.283"," 155581.114","39610.20","  6677.667","18141408","1183770.6"," 667543.2","1104681.2","2042025.7","  57115.84"," 100176.96","  9046.936"," 48603.67","36397768","22161389"," 42592.153"," 758981.9"," 63077.41","10383149"," 4094303","1716714"," 5610338"," 60219.44"," 867617.1","1525593.1","19890.480"," 426089.3"," 92817.123"," 73916.83","3623209","  54342.30","131631.78"," 238707.6","395687.64","185390.77","12773946","32662886","16078.836"," 51447.23"," 79534.32","308850.30"," 82706.46","21891.626","3229726","71760851.4"," 96695.68","1613651"," 923729.7","215821.4"," 4771923.9","2967606.0","2720681","42988555","23841.547","2501619"," 2181805.5","  17924.823"," 76683.79"
"115","329314.1","33775.63"," 269514.28","10811.744"," 89054.02","370444.6"," 79534.32"," 460384.47","1817066.5"," 667543.2","  16078.836"," 39610.198"," 226029.94"," 4771924"," 45732.00","2042026"," 36507.17","195143.9","113319.532","12773946"," 496886.7"," 976488.4","36397768","139561.41","100176.96"," 6720093","1183770.6"," 8727833"," 5610338","10383149","  42592.15"," 6677.667","174687.1","14186.858"," 63077.407"," 923729.7","1037626.8","  73916.83","203953.4","395687.6","131631.78","1104681.2"," 286779.69","1915101","540561.8","26113.65","155581.11","71760851","1431978.9","29596538"," 308850.3"," 76683.79"," 625097.0","185390.77","165904.78","  349743.151","  21891.626","28680.84"," 85878.656","18141408"," 710426.4"," 758981.9"," 811425.2","2501618.8","1716714.28","  96695.68","252271.466"," 48603.67","32662886","22161389"," 57115.836"," 579223.5"," 51447.23"," 9537700"," 7704418","2181806","42988555"," 66409.28"," 426089.3","1263557.0","12498.132"," 867617.1"," 31187.808"," 71570.27","3229726","  92817.12","125174.65"," 238707.6","104429.16","118709.65","11436701","26369283"," 9046.936","108721.95"," 60219.44","146990.90"," 69010.09","19890.480","4094303","14904167.7"," 54342.30","2967606","1613650.9","215821.4"," 1344904.7","3623209.4","2328563","57065957","23841.547","2720681"," 1525593.1","  17924.823"," 82706.46"
"116","426089.3","36507.17"," 165904.78","14186.858"," 96695.68","540561.8","100176.96"," 215821.41","1613650.9"," 496886.7","  19890.480"," 76683.790"," 155581.11"," 7704418"," 89054.02","1915101"," 54342.30","308850.3"," 63077.407","14904168"," 710426.4","1431978.9","42988555","195143.87","108721.95"," 9537700"," 625097.0"," 8727833"," 6720093","10383149","  85878.66"," 6677.667","252271.5","21891.626"," 33775.632"," 976488.4"," 923729.7","  26113.65","370444.6","579223.5","203953.43","1263557.0"," 395687.64","1716714","811425.2","28680.84","118709.65","71760851","1817066.5","32662886"," 286779.7"," 69010.09"," 329314.1","238707.58","226029.94","   23841.547","   9046.936","45732.00"," 12498.132","18141408","1104681.2"," 867617.1","1037626.8","2720680.7","  60219.44"," 125174.65","104429.164"," 39610.20","29596538","22161389"," 51447.231"," 667543.2"," 66409.28","11436701"," 4094303","1525593"," 5610338"," 71570.27"," 758981.9","1183770.6","10811.744"," 349743.2"," 42592.153"," 92817.12","2328563"," 131631.78","174687.13"," 269514.3"," 82706.46","185390.77","12773946","26369283","16078.836"," 48603.67"," 73916.83","146990.90"," 79534.32","57115.836","3229726","36397767.5","113319.53","2042026","1344904.7","460384.5"," 2501618.8","4771923.9","2967606","57065957","17924.823","3623209"," 2181805.5","  31187.808","139561.41"
"118","370444.6","39610.20"," 308850.30","10811.744"," 82706.46","395687.6","118709.65"," 460384.47","1613650.9"," 426089.3","  17924.823"," 63077.407"," 125174.65"," 7704418"," 33775.63","1817067"," 45732.00","269514.3","155581.114","14904168"," 625097.0","2042025.7","26369283","215821.41"," 85878.66"," 5610338"," 540561.8"," 8727833","10383149"," 9537700","  79534.32"," 6677.667","226029.9","19890.480"," 66409.277","1037626.8","1431978.9","  16078.84","238707.6","579223.5","146990.90","1344904.7"," 286779.69","2328563","710426.4","23841.55","113319.53","71760851","1915101.2","36397768"," 349743.2"," 73916.83"," 811425.2","139561.41","252271.47","   71570.274","  14186.858","42592.15"," 26113.646","22161389"," 867617.1","1104681.2"," 976488.4","1716714.3","  57115.84","  96695.68"," 92817.123"," 54342.30","57065957","29596538"," 60219.439"," 758981.9"," 48603.67","11436701"," 6720093","2501619","18141408"," 51447.23"," 667543.2","1183770.6"," 9046.936"," 496886.7"," 36507.168"," 76683.79","3229726"," 100176.96","165904.78"," 195143.9","329314.09","131631.78","12773946","32662886","12498.132","174687.13"," 69010.09","203953.43"," 89054.02","28680.844","2720681"," 4771923.9","108721.95","2181806","1525593.1","185390.8","  923729.7","4094303.2","2967606","42988555","31187.808","3623209"," 1263557.0","  21891.626","104429.16"
"119","395687.6","33775.63"," 146990.90","16078.836"," 96695.68","426089.3"," 76683.79","1716714.28","1263557.0"," 540561.8","   9046.936"," 60219.439"," 329314.09"," 4771924","108721.95","1525593"," 45732.00","252271.5"," 54342.302","12773946"," 625097.0","1344904.7","42988555","165904.78"," 92817.12"," 7704418"," 667543.2"," 6720093","11436701"," 8727833"," 185390.77","14186.858","226029.9","17924.823"," 19890.480"," 976488.4","1817066.5","  36507.17","238707.6","349743.2","139561.41"," 867617.1"," 370444.55","2042026","579223.5","28680.84","104429.16","71760851","2967606.0","32662886"," 496886.7"," 79534.32"," 308850.3","203953.43","174687.13","   51447.231","  10811.744","71570.27"," 12498.132","14904168","1183770.6"," 758981.9"," 811425.2","1613650.9","  39610.20"," 155581.11"," 57115.836"," 42592.15","29596538","36397768"," 66409.277"," 923729.7"," 73916.83"," 9537700"," 2720681","1915101","18141408"," 85878.66"," 710426.4","1104681.2"," 6677.667"," 269514.3"," 63077.407"," 82706.46","3229726","  69010.09","131631.78"," 460384.5","118709.65","125174.65","10383149","22161389","21891.626","195143.87"," 48603.67","215821.41","113319.53","31187.808","2501619","26369282.8"," 89054.02","2181806","1037626.8","286779.7"," 5610338.3","3623209.4","2328563","57065957","26113.646","4094303"," 1431978.9","  23841.547","100176.96"
"120","395687.6","31187.81"," 185390.77","14186.858"," 79534.32","496886.7"," 92817.12"," 426089.28","2720680.7"," 540561.8","   9046.936"," 85878.656"," 195143.87"," 7704418"," 45732.00","1716714"," 51447.23","238707.6","125174.647","14904168"," 811425.2","1344904.7","29596538","146990.90"," 89054.02","10383149"," 710426.4"," 8727833"," 4771924","11436701","  63077.41"," 6677.667","215821.4","36507.168"," 42592.153","1037626.8","1263557.0","  23841.55","252271.5","329314.1"," 96695.68"," 976488.4"," 226029.94","1915101","667543.2","26113.65","108721.95","71760851","1104681.2","42988555"," 460384.5"," 76683.79"," 349743.2","308850.30","155581.11","   28680.844","  10811.744","60219.44","104429.164","22161389"," 923729.7"," 625097.0","1431978.9","2042025.7"," 203953.43","  66409.28","269514.283"," 33775.63","36397768","32662886"," 39610.198"," 758981.9"," 54342.30","12773946"," 4094303","1817067","18141408"," 57115.84"," 867617.1","1525593.1","12498.132"," 286779.7"," 69010.087"," 48603.67","2501619","  73916.83","131631.78"," 370444.6","100176.96","139561.41"," 9537700","26369283","17924.823","165904.78"," 82706.46","174687.13","113319.53","21891.626","3229726"," 6720092.7"," 71570.27","2181806","1183770.6","579223.5"," 2967606.0","5610338.3","2328563","57065957","19890.480","3623209"," 1613650.9","  16078.836","118709.65"
"121","496886.7","16078.84"," 146990.90","14186.858"," 89054.02","370444.6"," 66409.28"," 867617.05","1817066.5"," 579223.5","  10811.744"," 54342.302"," 308850.30"," 4771924","286779.69","1716714"," 51447.23","226029.9"," 79534.316","14904168"," 667543.2","2181805.5","42988555","131631.78","108721.95","11436701"," 923729.7"," 6720093","12773946"," 9537700"," 139561.41","12498.132","203953.4","31187.808"," 39610.198","1037626.8","1104681.2","  45732.00","215821.4","329314.1","118709.65"," 976488.4"," 252271.47","1613651","540561.8","28680.84","195143.87","57065957","2967606.0","29596538"," 426089.3"," 57115.84"," 460384.5","174687.13","155581.11","  349743.151","  33775.632","42592.15","  6677.667","18141408","1431978.9"," 710426.4","1915101.2","1525593.1","  60219.44"," 104429.16","  9046.936"," 69010.09","32662886","26369283"," 36507.168"," 625097.0"," 82706.46"," 8727833"," 3623209","1344905"," 7704418"," 71570.27"," 758981.9","1183770.6","17924.823"," 238707.6"," 63077.407"," 76683.79","4094303","  48603.67","125174.65"," 395687.6","185390.77","100176.96","10383149","36397768","19890.480"," 92817.12"," 73916.83","165904.78"," 85878.66","23841.547","2720681","22161388.9"," 96695.68","2042026"," 811425.2","269514.3"," 5610338.3","3229726.2","2501619","71760851","21891.626","2328563"," 1263557.0","  26113.646","113319.53"
"122","395687.6","36507.17"," 195143.87","14186.858"," 63077.41","349743.2"," 73916.83","1431978.90","1344904.7"," 496886.7","   6677.667"," 42592.153"," 185390.77"," 5610338"," 85878.66","1263557"," 66409.28","215821.4"," 57115.836","14904168"," 625097.0","1716714.3","36397768","174687.13","108721.95"," 9537700"," 667543.2"," 7704418","12773946"," 6720093"," 113319.53","10811.744","286779.7","16078.836"," 28680.844"," 923729.7","2181805.5","  31187.81","269514.3","370444.6","139561.41"," 811425.2"," 226029.94","1817067","540561.8","23841.55","100176.96","71760851","2967606.0","29596538"," 426089.3"," 54342.30"," 238707.6","203953.43","165904.78","  155581.114","   9046.936","51447.23"," 33775.632","18141408","1183770.6"," 867617.1"," 710426.4","2328562.6"," 131631.78"," 125174.65"," 79534.316"," 48603.67","32662886","26369283"," 71570.274"," 976488.4"," 39610.20"," 8727833"," 4771924","1525593","42988555"," 82706.46"," 579223.5","1037626.8","12498.132"," 758981.9"," 45732.003"," 69010.09","4094303","  89054.02","146990.90"," 460384.5","252271.47","118709.65","11436701","22161389","19890.480"," 96695.68"," 60219.44","308850.30"," 92817.12","21891.626","3229726","10383149.1"," 76683.79","2042026","1104681.2","329314.1"," 1613650.9","3623209.4","2501619","57065957","26113.646","2720681"," 1915101.2","  17924.823","104429.16"
"123","370444.6","26113.65"," 185390.77","10811.744"," 60219.44","349743.2"," 79534.32"," 286779.69","1525593.1"," 625097.0","   6677.667"," 71570.274"," 215821.41"," 5610338","108721.95","1613651"," 54342.30","195143.9"," 92817.123","10383149"," 579223.5","1716714.3","42988555","125174.65"," 89054.02"," 6720093","1104681.2"," 9537700","12773946"," 8727833"," 104429.16"," 9046.936","203953.4","16078.836"," 33775.632"," 976488.4","1183770.6","  31187.81","238707.6","329314.1","155581.11"," 923729.7"," 269514.28","1915101","496886.7","23841.55","113319.53","71760851","2328562.6","32662886"," 667543.2"," 45732.00"," 395687.6","226029.94","174687.13","  540561.785","  51447.231","39610.20"," 12498.132","22161389","1431978.9"," 811425.2","1037626.8","2042025.7"," 165904.78","  82706.46"," 36507.168"," 48603.67","36397768","26369283"," 66409.277"," 758981.9"," 85878.66"," 7704418"," 4771924","1817067","18141408"," 63077.41"," 710426.4","1344904.7","14186.858"," 426089.3"," 42592.153"," 73916.83","4094303","  76683.79","118709.65"," 867617.1","308850.30","131631.78","11436701","29596538","17924.823","139561.41"," 57115.84","146990.90"," 69010.09","28680.844","2720681","14904167.7"," 96695.68","2501619","1263557.0","252271.5","  460384.5","3623209.4","3229726","57065957","19890.480","2967606"," 2181805.5","  21891.626","100176.96"
"124","758981.9","31187.81"," 203953.43","10811.744","104429.16","349743.2"," 71570.27"," 710426.42","1431978.9"," 329314.1","   6677.667"," 63077.407"," 308850.30"," 5610338","113319.53","1817067"," 66409.28","215821.4","100176.963","12773946"," 496886.7","1915101.2","42988555","108721.95","125174.65","11436701"," 460384.5"," 7704418"," 8727833","14904168"," 165904.78","14186.858","238707.6","45732.003"," 60219.439"," 976488.4","1104681.2","  48603.67","195143.9","370444.6","155581.11"," 867617.1"," 252271.47","2720681","540561.8","23841.55","395687.64","57065957","4094303.2","32662886"," 625097.0"," 54342.30"," 269514.3","226029.94","185390.77","   79534.316","  28680.844","42592.15"," 12498.132","22161389","1525593.1"," 923729.7","1263557.0","1716714.3","  33775.63"," 139561.41"," 39610.198"," 69010.09","29596538","26369283"," 26113.646"," 811425.2"," 89054.02","10383149"," 4771924","2501619"," 6720093"," 92817.12"," 667543.2","1037626.8","17924.823"," 426089.3"," 36507.168"," 51447.23","3623209","  82706.46","131631.78"," 579223.5","286779.69","146990.90","18141408","36397768","16078.836"," 76683.79"," 73916.83","118709.65"," 85878.66","21891.626","2967606"," 1613650.9"," 96695.68","2042026","1183770.6","174687.1"," 9537700.2","2181805.5","2328563","71760851"," 9046.936","3229726"," 1344904.7","  19890.480"," 57115.84"
"125","460384.5","17924.82"," 349743.15","10811.744","118709.65","308850.3"," 71570.27"," 370444.55","1915101.2","1183770.6","  14186.858"," 48603.666"," 496886.70"," 6720093","174687.13","2328563"," 63077.41","185390.8"," 73916.831"," 9537700"," 758981.9","1817066.5","42988555"," 96695.68","104429.16","10383149","1716714.3"," 8727833"," 2501619","11436701","  45732.00","12498.132","226029.9","89054.018"," 23841.547","1104681.2"," 203953.4","  79534.32","195143.9","329314.1","100176.96"," 867617.1"," 215821.41","2967606","426089.3","39610.20","923729.70","71760851","2181805.5","32662886"," 579223.5"," 66409.28"," 286779.7","146990.90","238707.58"," 1263556.973","  76683.790","36507.17"," 26113.646","22161389"," 976488.4"," 811425.2","1525593.1","1613650.9"," 165904.78","  51447.23","  6677.667"," 85878.66","36397768","14904168"," 60219.439"," 710426.4"," 31187.81"," 5610338","12773946","2720681","26369283"," 69010.09"," 252271.5","1431978.9","33775.632"," 540561.8"," 57115.836"," 54342.30","3623209"," 155581.11","131631.78"," 625097.0"," 92817.12","108721.95"," 7704418","29596538"," 9046.936","139561.41","113319.53","269514.28"," 82706.46","19890.480","4094303","18141408.4"," 28680.84","3229726"," 667543.2","125174.6"," 4771923.9"," 395687.6","1037627","57065957","16078.836","2042026"," 1344904.7","  21891.626"," 42592.15"
"126","426089.3","36507.17"," 215821.41"," 9046.936"," 69010.09","370444.6"," 76683.79"," 667543.15","1613650.9"," 579223.5","   6677.667"," 51447.231"," 226029.94"," 6720093","118709.65","1525593"," 63077.41","269514.3"," 73916.831","14904168"," 625097.0","1817066.5","42988555","165904.78","104429.16"," 8727833"," 758981.9"," 9537700"," 7704418","10383149"," 100176.96","10811.744","195143.9","26113.646"," 33775.632"," 923729.7","1263557.0","  39610.20","252271.5","349743.2","146990.90"," 867617.1"," 286779.69","2042026","496886.7","19890.48","174687.13","57065957","2181805.5","29596538"," 540561.8"," 71570.27"," 329314.1","238707.58","203953.43","   60219.439","  21891.626","54342.30"," 12498.132","18141408","1344904.7"," 976488.4","1037626.8","1431978.9","  45732.00"," 155581.11"," 48603.666"," 42592.15","36397768","32662886"," 57115.836"," 710426.4"," 89054.02","11436701"," 3229726","1915101","22161389"," 66409.28"," 811425.2","1183770.6","14186.858"," 395687.6"," 28680.844"," 79534.32","4771924","  92817.12","139561.41"," 460384.5","185390.77","125174.65","12773946","26369283","16078.836"," 82706.46"," 96695.68","108721.95"," 85878.66","23841.547","2720681"," 3623209.4","131631.78","2328563","1104681.2","308850.3"," 2501618.8","5610338.3","2967606","71760851","17924.823","4094303"," 1716714.3","  31187.808","113319.53"
"127","540561.8","42592.15"," 286779.69","16078.836"," 79534.32","426089.3"," 85878.66"," 460384.47","1613650.9"," 710426.4","  10811.744","155581.114"," 226029.94"," 5610338","139561.41","1716714"," 54342.30","203953.4","125174.647","14904168"," 625097.0","1431978.9","42988555","118709.65"," 96695.68"," 6720093","1037626.8"," 7704418"," 8727833","10383149","  76683.79"," 6677.667","215821.4","17924.823"," 48603.666","1104681.2"," 811425.2","  31187.81","238707.6","349743.2","108721.95"," 976488.4"," 329314.09","2181806","579223.5","21891.63","113319.53","57065957","1525593.1","36397768"," 370444.6"," 66409.28"," 496886.7","252271.47","174687.13","   28680.844","   9046.936","51447.23"," 33775.632","18141408","1263557.0"," 667543.2"," 923729.7","2501618.8"," 146990.90"," 100176.96","195143.868"," 57115.84","32662886","26369283"," 45732.003"," 867617.1"," 69010.09","11436701"," 4771924","2042026","12773946"," 60219.44"," 758981.9","1183770.6","14186.858"," 185390.8"," 63077.407"," 71570.27","3623209","  36507.17","131631.78"," 308850.3","269514.28","104429.16"," 9537700","29596538","12498.132"," 39610.20"," 73916.83","165904.78"," 82706.46","26113.646","2967606","22161388.9"," 89054.02","2328563","1344904.7","395687.6"," 1915101.2","4094303.2","2720681","71760851","19890.480","3229726"," 1817066.5","  23841.547"," 92817.12"
"128","395687.6","31187.81"," 195143.87"," 9046.936"," 79534.32","349743.2"," 76683.79"," 758981.94","1915101.2"," 460384.5","   6677.667"," 71570.274"," 146990.90"," 6720093"," 60219.44","2042026"," 33775.63","215821.4","226029.941","12773946"," 710426.4","1183770.6","36397768","185390.77"," 92817.12"," 8727833"," 667543.2"," 7704418"," 4771924"," 9537700"," 104429.16","12498.132","238707.6","26113.646"," 14186.858"," 976488.4","2328562.6","  21891.63","252271.5","286779.7","108721.95"," 867617.1"," 329314.09","1817067","496886.7","23841.55","139561.41","71760851","2181805.5","32662886"," 426089.3"," 54342.30"," 579223.5","165904.78","174687.13"," 1344904.667"," 113319.532","36507.17"," 42592.153","14904168","1104681.2"," 625097.0"," 923729.7","1716714.3"," 131631.78","  66409.28","125174.647"," 51447.23","42988555","18141408"," 48603.666","1037626.8"," 63077.41","10383149"," 5610338","1525593","22161389"," 57115.84"," 811425.2","1263557.0","10811.744"," 269514.3"," 45732.003"," 69010.09","3623209","  96695.68","118709.65"," 308850.3","155581.11","100176.96","11436701","29596538","17924.823"," 39610.20"," 82706.46","203953.43"," 73916.83","16078.836","2720681","26369282.8"," 89054.02","2501619","1431978.9","370444.6","  540561.8","4094303.2","3229726","57065957","19890.480","2967606"," 1613650.9","  28680.844"," 85878.66"
