"","Sample","Label","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0."
"16","17","C",2.115078," 0.780187434",1.6006557," 0.3765900906",1.2997556,1.856515,1.2092781,1.8204063
"17","d","C",1.557175," 0.558101624",1.2268268," 0.0792567899",0.9384429,1.539602,0.9308568,1.9150396
"18","19","C",1.561426," 0.378806893",0.9173757,"-0.1445392220",0.8871315,1.455141,0.8356866,1.2684913
"19","20","C",1.59962," 0.503931286",0.937813," 0.0677257749",1.0429774,1.591353,0.9718036,2.1993761
"20","21","C",1.417896," 0.254672505",0.9227666,"-0.3042411931",0.7166361,1.236133,0.5958432,1.1118038
"21","22","C",2.048606," 1.017282162",2.0169244," 0.4504570062",1.2212963,1.898994,1.2168398,2.5774547
"22","24","C",1.918386," 0.697616549",1.8386685," 0.3646908844",1.1674048,1.904929,1.2392008,2.2562778
"23","25","C",2.222211," 0.973328028",1.7497066," 0.5806702214",1.3924946,2.06558,1.4226437,2.35914
"24","27","C",1.829356," 0.667865059",1.563269," 0.2752220945",1.1258216,1.745917,1.0822159,1.8408246
"25","28","C",1.647603," 0.716734280",1.4333799," 0.2514866749",1.0013841,1.702456,1.0628632,2.2456655
"26","29","C",1.501045," 0.143375865",1.1508933,"-0.2392384389",0.6304239,1.336501,0.6193808,1.2105071
"27","30","C",1.875978," 0.621745819",1.4490398," 0.1263853459",1.2022273,1.762161,1.0853926,1.5053868
"28","31","C",1.724241," 0.683568969",1.2148573," 0.0422972829",0.7101453,1.620936,0.9355181,1.0709517
"29","32","C",1.965046," 0.653152473",1.4242433," 0.2779588298",1.3081008,1.872902,1.1755084,2.0203063
"30","34","C",1.727836," 0.612576429",1.3231804," 0.0890368706",0.9149325,1.685591,1.0215927,1.4398532
"31","35","C",1.94039," 0.623497259",1.4564687," 0.2819097560",1.1384345,1.872449,1.1823339,1.5068813
"32","36","C",1.957024," 0.963998739",1.7596109," 0.2593709080",1.20385,1.789061,1.1545164,2.7705413
"33","37","C",1.668352," 0.533216952",1.2429029," 0.0343136920",0.8639139,1.601873,0.9854892,2.5236738
"34","38","C",1.843544," 0.633375770",1.1947643," 0.1878765482",1.0903688,1.73685,1.0526614,1.3195052
"35","39","C",1.646918," 0.439262225",1.1682904," 0.1271427674",0.9877236,1.586774,0.9236352,1.1933383
"36","40","C",1.434706," 0.272905276",0.9455582,"-0.1637620131",0.695163,1.399656,0.7656872,1.2513083
"37","41","C",1.974677," 0.904379252",1.6906561," 0.4984544734",1.3048433,1.944731,1.3039971,1.435139
"38","42","C",1.423849," 0.068266307",1.0237013,"-0.1527459234",0.6522603,1.373459,0.7336571,1.4652413
"39","43","C",1.529129," 0.446707333",0.98406,"-0.1611340260",0.7482361,1.514461,0.7220191,1.492894
"40","44","C",1.559684," 0.681718467",1.1355489," 0.1958862493",0.9917223,1.666131,1.0317961,1.3264264
"41","45","C",1.692675," 0.682139914",1.2919248," 0.1602297233",1.0432934,1.602599,1.0002879,1.5782688
"42","46","C",1.478648," 0.400425413",1.4047428,"-0.2153776187",0.821926,1.400536,0.7531045,1.8565946
"43","47","C",1.427954," 0.045454777",1.1697043,"-0.2203332086",0.5519046,1.375796,0.6713497,1.707875
"44","48","C",1.453098," 0.160470163",1.2199565,"-0.1673857816",0.754252,1.437882,0.7297348,1.8201108
"45","49","C",1.819292," 0.409329260",1.5157576," 0.2440690067",1.0827371,1.735481,1.059352,1.2064349
"46","50","C",1.804827," 0.538533617",1.1875349," 0.2029563520",1.0559067,1.722795,1.0622904,1.2754896
"47","51","C",1.77253," 0.642747538",1.3086337,"-0.0022874517",1.1737049,1.562689,0.9693278,1.0560787
"48","52","C",1.851797," 0.696908495",1.6643873," 0.2841443933",1.2522463,1.841945,1.1821892,2.2306813
"49","53","C",1.672091," 0.607631129",1.3522583," 0.1707999922",0.996037,1.712224,0.9734453,1.4229956
"50","54","C",1.641364," 0.217239856",1.2250704," 0.0816915550",0.8439378,1.613676,0.9259068,1.1647736
"51","55","C",2.114982," 0.855478380",1.6299943," 0.3892458884",1.3332899,1.951132,1.3163105,2.3302926
"52","57","C",1.512627," 0.185520644",1.164567,"-0.0698723439",0.7097442,1.421535,0.7270253,2.0657399
"53","58","C",1.959871," 0.888735516",1.3525738," 0.3921710625",1.4270768,1.990085,1.286658,2.0502666
"54","59","C",1.548938," 0.396109682",1.1353915,"-0.1215339626",0.7335722,1.408496,0.6905874,2.3764435
"55","60","C",1.577798," 0.435960422",1.1375042," 0.0286498863",0.8668,1.527081,0.8869474,2.6869238
"56","61","C",1.751374," 0.636784275",1.4135052," 0.2219877600",1.1930526,1.663261,1.0340607,2.9297839
"57","62","C",1.675469," 0.296746034",1.5154018,"-0.0360151652",0.9278527,1.530103,0.8621604,2.045409
"58","63","C",1.884558," 0.613340436",1.5033068," 0.2000158078",0.9463648,1.606171,0.9598209,2.7533975
"59","64","C",1.431227," 0.233477325",1.0939713,"-0.1919427395",0.7174433,1.439694,0.7425247,1.6121567
"60","65","C",1.938954," 0.931352138",1.728865," 0.4264002045",1.2908921,1.861296,1.1944255,2.9823527
"61","66","C",1.643222," 0.362525818",1.2031314," 0.1819645219",1.0681147,1.571682,0.9024061,1.7939405
"62","67","H",1.604242," 0.589411345",1.391674," 0.2357621729",0.8887387,1.697413,1.0720625,1.5805909
"63","68","H",1.746067," 0.696860789",1.4908182," 0.3612273333",1.0432939,1.798043,1.1743005,2.1307474
"64","69","H",1.629591," 0.409943046",1.2623603," 0.2080197207",0.8531541,1.533993,0.8905971,1.5223788
"65","70","H",1.773454," 0.860176377",1.2836167," 0.4800798207",1.1578499,1.833568,1.2576852,1.2220645
"66","71","H",2.074152," 0.983389122",1.8088364," 0.7881362779",1.3976104,2.115033,1.5092313,2.298818
"67","72","H",1.284187," 0.381442213",1.0309538,"-0.0786247592",0.5777938,1.352717,0.6908969,1.5962032
"68","73","H",1.493364," 0.480865910",1.5188992," 0.2798254791",0.837615,1.643708,0.9624228,1.7612187
"69","74","H",1.677717," 0.763980009",1.2374831," 0.4669384506",1.0824286,1.857573,1.1469487,1.4808314
"70","75","H",1.384748," 0.499872541",1.0803391," 0.1021309236",0.8116345,1.535671,0.9728503,1.5491532
"71","76","H",1.293017," 0.325675234",1.280245,"-0.0604707813",0.6550087,1.440357,0.7909611,1.6044405
"72","77","H",1.611281," 0.428352547",1.3149699," 0.1840536376",1.0480104,1.630842,0.9212056,0.9252337
"73","78","H",1.750696," 0.739955005",1.6029564," 0.3295188547",1.187297,1.739233,1.1063855,0.7680912
"74","79","H",1.768702," 0.610010115",1.3977075," 0.3617696918",1.1572618,1.754654,1.091859,0.9776991
"75","80","H",1.720575," 0.650859480",1.4728638," 0.2036276039",1.1701937,1.708817,0.9985273,0.9730116
"76","81","H",1.271613," 0.279999234",1.1207611,"-0.1990493680",0.6683113,1.298238,0.5987648,0.8408977
"77","82","H",1.791357," 0.584376582",1.5086677," 0.2744553185",1.1340224,1.766389,1.0870577,1.4799307
"78","83","H",1.570755," 0.521974979",1.2496095," 0.0699849529",0.9389388,1.556754,0.8754155,0.4631217
