"Sample","Label","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatinine..114.1...44.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"129","H","2.147519"," 1.029353046","1.6938116"," 0.5658759980","1.4234594","2.119599","1.4597735","2.4565300","2.605962","2.229223"," 0.62175057"," 1.28611388","1.8863739","3.234303"," 1.78139345","2.713428","1.2833435","1.8790965"," 1.50911457","3.612652","2.304044","2.693510","4.031523","1.5240164","1.4108509","3.318794","2.373438","3.116460","3.462444","0.9070206"," 0.165775161","1.8425774"," 1.2600536845"," 0.4598677582","2.534963","2.459138"," 0.924656549","1.8970574","2.136704","1.6399433","2.506220","1.7978888","2.914303","2.311075","0.89968535","1.3070187","4.373778","2.665128","3.982923","2.203008","1.3067081","1.9160521","1.8624379","1.9432361"," 1.79498084"," 0.769331921"," 0.9655996"," 1.1056630418","3.630408","2.582242","2.489063","2.524444","2.968331","1.2082162","1.7550808"," 1.704023021","1.11627037","4.128066","3.852679"," 1.1454629","2.354488","1.3465499","3.311058","3.246231","2.862214","3.879621","1.2846533","2.371806","2.592979"," 6.196770e-01","1.7638239"," 1.15116866","1.4359257","2.696046","1.2257145","1.6543664","2.111552","1.4790385","1.5858957","3.421090","4.164188"," 0.305840025"," 2.1123818","1.3490377","1.9411013","1.4665093"," 0.984570473","2.999136","4.027470","1.2432908","2.815034","2.588405","1.8574392","2.881644","2.943313","2.737610","4.235401"," 0.640340473","2.779050","2.836074"," 0.838765408","1.4319264"
"130","H","1.744554"," 0.429687897","1.4136071"," 0.2403822971","1.0231196","1.739897","1.1151694","2.4162880","2.398476","1.717813"," 0.14838893"," 0.73104716","1.4560763","2.838321"," 1.17505648","2.426580","0.8684220","1.5273734"," 0.90719938","3.354436","2.021061","2.287485","3.759583","1.0451429","1.1514800","2.908908","1.877969","2.974802","3.228629","1.0190659","-0.056302401","1.5334853"," 0.3520427392"," 0.8567930713","2.167856","2.246660"," 0.645254703","1.5694879","1.766432","1.3856669","2.130781","1.6015146","2.619256","1.899703","0.56951008","1.1863022","3.959213","2.622383","3.674430","1.855432","0.9573029","1.6070281","1.4411192","1.3937950"," 1.60886071"," 0.586873005"," 0.9112425"," 0.4931706035","3.475172","2.346677","2.197389","2.015549","2.292783","1.1659057","1.9937517"," 1.156125939","0.73753287","3.631731","3.595735"," 0.7299935","2.010580","1.0866328","3.176189","2.690659","2.568952","3.787478","0.9944496","2.006860","2.190812"," 1.698941e-01","1.8762088"," 0.83582693","1.0935757","2.497260","1.2214320","1.1803897","1.784325","1.2848759","1.1609774","3.170859","3.710100"," 0.229879169"," 1.3834305","1.0000117","1.3029805","1.1753997"," 0.503521084","2.632497","3.072401","1.0428810","2.399263","2.018518","1.6459602","2.346798","2.762017","2.527459","3.972274"," 0.209504319","2.703548","2.393981"," 0.632638870","1.1639637"
"131","H","1.606496"," 0.708111293","1.4924724"," 0.2248577208","0.9818552","1.715146","1.0634156","1.4955156","2.311781","1.820938"," 0.25793745"," 0.80777908","1.8896140","2.941339"," 1.06319585","2.353175","0.7898100","1.5014624"," 0.96130009","3.299467","1.980302","2.260428","3.571103","1.2892039","1.1331733","2.923827","1.915964","2.991844","3.076183","1.1471687","-0.048732868","1.3759586"," 0.1807451980"," 1.2435780663","2.123441","2.307436"," 1.042663890","1.5123606","1.687675","1.2219766","2.132578","1.4893921","2.520175","1.859708","0.38384271","1.3556452","3.955534","2.538469","3.607436","1.775633","1.0254101","1.7090806","1.4972450","1.4243070"," 0.71534097"," 0.499432867"," 0.8122415"," 0.2152300350","3.357224","2.189717","2.110084","2.389823","2.346817","1.6811923","1.3052653"," 0.684545945","0.86639715","3.669278","3.524119"," 0.9997344","2.004624","0.9202891","3.194147","2.765067","2.468242","3.205235","1.0258666","2.047107","2.231813"," 9.848928e-02","1.8852432"," 0.81681544","0.9140925","2.705927","0.9334192","1.2419583","1.687460","1.2440787","1.1929628","3.232124","3.625100"," 0.466080600"," 1.2115074","1.0925110","1.3833202","1.0862884"," 0.435205989","2.621882","3.221281","1.1873882","2.507161","2.217538","1.5362104","2.691711","2.867782","2.606545","3.882894"," 0.491053487","2.599644","2.398760"," 0.667235231","1.2260314"
"132","H","1.605212"," 0.519945503","1.2224671"," 0.1017253573","1.0154161","1.540814","0.8965918","1.8292047","2.099838","1.827835"," 0.01108918"," 0.77684216","1.2373034","2.839908"," 0.79870575","2.238030","0.7804589","1.3178041"," 0.80549184","3.188149","1.781502","2.023567","3.631049","1.2129489","0.9552205","3.101860","1.972557","2.925411","2.938540","1.0171933"," 0.233079814","1.2670635"," 0.5672153858"," 0.1482812198","1.964593","2.199119"," 0.476934654","1.3693775","1.540241","0.9845778","1.927452","1.5070924","2.270284","1.700981","0.48931794","1.1761273","3.888912","2.256763","3.476291","1.634084","0.8809276","1.4045471","1.2048253","1.1574989"," 0.17485826"," 0.064595160"," 0.6613754"," 0.5801945353","3.163676","2.081588","1.897081","1.848595","2.125570","1.2125894","0.9069541"," 0.809010552","0.67985415","3.548443","3.427576"," 0.8492292","2.083508","1.0424121","3.034191","2.700754","2.223394","3.383052","0.8194954","1.834432","2.063624"," 1.408757e-01","1.2190660"," 0.64533939","1.0711248","2.379258","0.9394107","1.0927147","1.600793","1.5370760","1.0397007","3.027102","3.430766"," 0.164736101"," 1.2121410","0.8647759","1.2408534","0.9124290"," 0.320117896","2.315886","3.016233","0.8529910","2.378993","1.976785","1.2696007","2.385434","2.620506","2.311707","3.766015"," 0.310449737","2.448841","2.106049"," 0.481125162","0.8986422"
"133","H","1.541016"," 0.230905607","1.2335131","-0.0967247600","0.8141828","1.351924","0.6995385","1.3319023","2.069917","1.437462","-0.12241333"," 0.43270310","2.5493947","2.598322"," 0.73157090","2.008249","0.4832955","1.1184839"," 0.79015135","2.890221","1.510167","2.011969","3.340861","0.8249117","0.8937918","2.621909","1.600797","2.751880","2.844073","0.5939693","-0.077361866","1.1446753"," 0.5250332979"," 0.2377454159","1.796881","1.558658"," 0.215327917","1.1846666","1.329566","0.8910909","1.742792","1.3762072","2.133944","1.543010","0.05361669","1.1454552","3.758951","2.139315","3.258696","1.520944","0.7253127","1.2980814","1.0479002","1.0383164"," 0.71609230"," 0.206663813"," 0.3473649"," 0.3681865301","2.875897","1.835436","1.742305","2.003169","2.103724","0.8299858","0.9214854"," 0.860343350","0.55523592","3.434455","3.027999"," 0.5183624","1.751095","0.6165907","2.750300","2.530189","2.087240","2.924477","0.6271903","1.557070","1.778399","-3.734005e-02","1.3585033"," 0.36795858","0.8303294","2.314611","0.7587019","1.0045293","1.531234","1.4958990","0.9264357","3.003538","3.301584","-0.037096008"," 1.5261433","0.5357412","1.2497394","0.7087958"," 0.194669133","2.136473","2.528138","0.7527758","2.170375","1.862717","1.1086758","2.411349","2.269507","2.210981","3.505900"," 0.036710883","2.183629","2.117655"," 0.323956811","0.7217405"
"134","H","1.864764"," 0.685570376","1.6512888"," 0.2198862022","1.0600261","1.807942","1.1307869","2.3829319","2.646823","2.065022"," 0.35107736"," 0.95521840","1.7826081","2.996909"," 1.46128734","2.518343","0.9462610","1.6161363"," 0.78600430","3.359836","2.010985","2.242409","3.791415","1.1856333","1.2393683","2.995474","2.205448","3.182101","3.235771","1.0692885"," 0.142121379","1.5997866"," 0.7143770699"," 0.9544094279","2.233481","2.291866"," 0.765727298","1.5335562","1.787432","1.2427717","2.192059","1.7537058","2.494028","1.958594","0.68067871","1.3859401","4.102331","2.506942","3.743761","2.088966","0.6963605","1.4118334","1.5370436","1.4369526"," 0.57418236"," 0.086713125"," 0.8950485"," 0.4649024443","3.453640","2.299431","2.108797","2.013986","2.446605","1.5493005","1.0813471"," 0.973665710","0.97441598","3.815534","3.592437"," 0.9961610","2.265120","1.0148536","3.191206","2.946022","2.456353","3.977033","0.9216231","2.009830","2.300298"," 3.009229e-01","1.9902122"," 0.63039064","1.0986518","2.787006","1.3053433","1.3762489","2.216387","0.9592572","1.2718248","3.255326","3.707145"," 0.453087599"," 1.6530487","1.2282306","1.4815733","1.0778852"," 0.688841732","2.555367","3.254586","1.2020803","2.617607","2.321198","1.6597181","2.584840","2.783062","2.634864","3.984824"," 0.471458399","2.651925","2.383611"," 0.474462669","1.2168267"
"135","H","1.549233"," 0.278502988","1.3080536"," 0.0970972160","0.8817144","1.537147","0.8972989","1.6216095","2.186830","1.701542","-0.05880589"," 0.67089634","1.2105030","2.659837"," 0.96022435","2.162762","0.6563500","1.3372304"," 0.85727455","3.156441","1.831279","2.041996","3.494170","1.0137739","0.9841834","2.941171","1.828790","2.861792","3.057607","0.7187114","-0.406736777","1.3190569"," 0.2569906801"," 1.0915529511","1.966373","2.110930"," 1.240337545","1.3388959","1.544254","1.0420183","1.946209","1.5515138","2.312523","1.680202","0.33373834","1.0659159","3.822641","2.155252","3.413005","1.599249","0.8165263","1.4410218","1.2565505","1.1738382"," 1.76589835"," 0.779686780"," 0.6586198"," 0.8788730265","3.148060","2.059959","1.869399","1.769294","2.103139","0.9341374","0.7486062"," 1.252422535","0.56565169","3.484620","3.378162"," 0.6543044","1.792817","0.6778163","3.012094","2.657301","2.260611","3.425555","0.6440459","1.831890","2.104825"," 1.547883e-02","1.8285658"," 0.57371145","0.6640676","2.398911","1.1347103","1.1155581","1.577250","1.1658208","1.0136252","3.013402","3.357487"," 0.239568750"," 0.8863186","0.6796651","0.9827842","0.8756271"," 0.341670966","2.469053","3.793802","0.9110219","2.352705","1.877538","1.4296778","2.203893","2.615243","2.375655","3.742843"," 0.214112592","2.451527","2.072101"," 0.358722046","1.0193214"
"136","H","2.008668"," 0.926995484","1.8123347"," 0.4645069328","1.3900249","1.955680","1.2912410","2.5799355","2.758760","2.279197"," 1.66469231"," 1.04650435","1.9835240","3.194933"," 1.77438596","2.664396","0.9928601","1.7416937"," 1.46486441","3.541987","2.208732","2.222957","3.879040","1.4104261","1.4239120","3.230994","2.404716","3.364529","3.416589","2.7265215","-0.039260759","1.6667254"," 0.8141620157"," 2.1512691003","2.336097","2.337104"," 2.234399956","1.7696508","1.879501","1.3950762","2.518599","1.9673526","2.796363","2.239706","0.85467997","1.6834198","4.287221","2.636687","3.924845","2.090087","1.1331809","1.9008310","1.8084164","1.6666672"," 1.51852967"," 1.018295348"," 0.9754633"," 0.4992253894","3.573873","2.473362","2.357566","2.383207","2.550928","2.6182224","1.2888659"," 1.020263208","1.15195650","3.947637","3.752973"," 1.2437513","2.444834","1.1475433","3.331441","3.184201","2.793996","3.896939","1.1971577","2.207682","2.454075"," 5.270980e-01","2.2880073"," 1.56458272","1.2390381","2.790264","1.2393973","1.5237100","2.086650","1.8210194","1.4039404","3.319453","3.854899"," 0.441223167"," 1.3585980","1.3424669","1.7138436","1.3047007"," 0.901595620","2.686793","3.501945","1.2890411","2.847734","2.535568","1.7250594","3.124007","2.941801","2.774488","4.193385"," 0.623679210","2.830096","2.480250"," 0.834643982","1.3839975"
"137","H","1.624144"," 0.400687635","1.5148734"," 0.0992661098","0.9350056","1.516416","0.8710855","2.2523103","2.151196","1.922950"," 1.95893545"," 0.69673290","1.8685154","2.664198"," 1.11418560","2.198717","0.5974271","1.2694069"," 1.13362388","3.049729","1.799680","1.676204","3.438901","1.1289908","0.8735462","2.956731","2.080139","3.120615","2.880626","1.1065503","-0.101151307","1.2502572"," 0.2734521894"," 0.6371109830","1.920459","1.811847"," 1.129735267","1.3070527","1.431113","0.8607762","2.064451","1.5923182","2.196887","1.761207","0.36931250","1.5004771","3.811023","2.061700","3.471887","1.587807","0.7371020","1.5007383","1.2351623","1.3642916"," 1.36477143"," 1.254725095"," 0.2550820","-0.0231204977","2.996987","1.809301","1.871135","2.488281","2.255967","1.7700503","0.6978560"," 0.912785448","0.75420234","3.529297","3.062292"," 0.8973091","1.959284","0.6583205","2.964048","2.773499","2.206787","3.418412","0.7781905","1.825638","2.035678"," 1.119847e-01","1.6785583"," 0.63177101","0.7119800","2.558714","0.7982670","1.1312766","1.558776","1.7590184","1.0506412","2.794901","3.410152","-0.115141726"," 1.1292683","0.7602606","1.3259154","0.8770867"," 0.295772949","2.368011","2.578703","0.7209370","2.306107","2.045697","1.3381174","2.695984","2.224347","2.145856","3.527563"," 0.179709514","2.011737","2.128664"," 0.346767527","0.7284606"
"138","H","1.615058"," 0.384954997","1.2874834","-0.1931790452","0.7290564","1.332640","0.7032367","2.2272539","2.097818","1.684471"," 0.92579003"," 0.49040390","1.1468079","2.554854"," 0.38648372","2.000119","0.4377400","1.1627431"," 0.74973992","2.956324","1.623349","1.368560","3.345667","0.7675427","0.8987290","2.811539","1.841747","2.707311","2.850822","0.6975810","-0.178162397","1.1131827"," 0.2600105440"," 0.2069752383","1.785351","2.123602"," 0.200148791","1.1036294","1.424636","0.8172502","1.918168","1.3024366","1.989472","1.569358","0.11609448","1.0749732","3.653628","1.892847","3.258489","1.364470","0.6136592","1.1830614","1.1648909","1.1472676"," 0.32305506"," 0.385993664"," 0.6403500"," 0.4124005920","3.103680","2.005236","1.611527","1.814250","1.956040","0.9582472","0.7510320"," 0.651914142","0.59023309","3.327828","3.315854"," 0.6129156","1.819848","0.6438656","2.831469","2.742506","2.001469","3.507130","0.5333902","1.627194","1.914633","-7.595053e-02","1.8704440"," 0.26041874","0.6131162","2.399191","0.6995734","0.8682365","1.306983","1.4784198","0.8421075","2.712992","3.256295","-0.065703518"," 0.6726657","0.5928571","1.0159709","0.7350134"," 0.275103378","2.304585","3.106886","0.7122673","2.202294","1.873769","1.2891287","2.273111","2.280493","2.172846","3.638679"," 0.034393863","2.424973","1.867535"," 0.005002739","0.6623474"
"139","H","1.841257"," 0.714227808","1.5688624"," 0.2824457487","1.1133180","1.779044","1.1506663","2.5851493","2.697711","2.059630"," 1.59968951"," 0.87141117","1.7164382","2.956596"," 1.17018162","2.493000","0.8215584","1.5362175"," 0.79793550","3.331135","2.003054","1.915842","3.775156","1.1232481","1.2370057","2.997284","2.234527","3.160978","3.211553","1.0561377","-0.040818719","1.5461142"," 0.8244685391"," 0.8884369976","2.162922","2.309044"," 0.818558608","1.4552335","1.771570","1.1996405","2.335822","1.6728783","2.457208","2.000962","0.62914991","1.4529396","4.062074","2.433226","3.744952","2.080776","0.9519450","1.3814685","1.3898227","1.3930980"," 0.48109088"," 0.918975567"," 0.9337225"," 0.7883181759","3.567242","2.303488","2.091396","1.995659","2.407107","1.5167256","1.0240812"," 1.265421280","0.94179379","3.775048","3.555500"," 0.9703441","2.198386","1.0041554","3.153432","3.055353","2.450134","3.930815","1.0336018","1.999281","2.240398"," 4.201247e-01","1.9697146"," 0.25069227","0.9515034","2.810631","1.1823073","1.3189117","2.172695","1.0333091","1.2169841","3.207568","3.706618"," 0.243534752"," 1.5922515","1.2018058","1.5003709","1.1052691"," 0.716320913","2.513202","3.215468","1.1659510","2.554935","2.345157","1.6507736","2.564678","2.757125","2.621054","3.955299"," 0.428920619","2.648916","2.311766"," 0.629783590","1.0903920"
"140","H","1.444250"," 0.214805819","1.1158551","-0.1293571770","0.7601143","1.338081","0.7099480","1.3915382","1.758347","1.385491"," 0.55097756"," 0.35994490","1.2050846","2.504489"," 0.46608759","2.065419","0.4874082","1.1254588"," 0.71939082","2.839347","1.613657","1.461781","3.165292","0.7733641","0.7227981","2.789253","1.576116","2.851571","2.688644","0.9467294","-0.321283431","1.1043904"," 0.2255575054","-0.1363556369","1.759351","1.793535"," 0.234073923","1.0276287","1.397986","0.7412186","1.897594","1.2369804","1.976385","1.543063","0.27901147","1.0569192","3.738326","2.189167","3.330661","1.382188","0.5899563","1.2363578","0.9301823","1.1431611"," 1.31071242"," 0.193919667"," 0.3943510"," 0.1924855166","3.072153","1.849496","1.647505","1.838213","2.004575","0.7780041","0.6393059"," 0.481375185","0.51009876","3.451868","3.096433"," 0.3590219","1.544600","0.7261978","2.722705","2.576467","1.979854","2.410866","0.4532720","1.585221","1.855192","-1.419669e-01","1.6972728"," 0.13427828","0.5769531","2.212118","0.7936684","1.0492115","1.405643","1.1954245","0.8272619","2.700332","3.254594","-0.184492760"," 0.3842044","0.6419230","1.3026880","0.7149108"," 0.277023142","2.064787","3.334948","0.6770756","2.004463","1.805002","1.0371958","2.592027","2.280022","2.150897","3.510970","-0.015029519","2.164906","1.857399"," 0.122947583","0.6769434"
"141","H","1.332380"," 0.320552186","1.1981258","-0.1415523387","0.6068185","1.365651","0.7404107","2.1641177","2.138145","1.522834"," 1.50808229"," 0.69738250","1.1062489","2.512236"," 0.57553342","2.050322","0.4050238","1.1500936"," 0.29680724","3.073835","1.696761","1.389578","3.505454","0.8228211","0.8621255","2.730099","1.698843","2.853621","2.815097","0.7629345","-0.378857474","1.0732329"," 0.1323149701"," 0.4920628315","1.764306","2.003486"," 0.364305940","1.0947844","1.356276","0.8955616","1.920689","1.1355889","2.028596","1.608873","0.25447976","0.8294567","3.622367","1.710407","3.306384","1.361692","0.5087465","0.9194865","1.1359437","1.1138036"," 1.36321320"," 0.777834490"," 0.4465538"," 0.8027105147","3.191614","1.883879","1.681365","1.828635","1.944007","0.6367580","0.6620898"," 1.153417903","0.45227229","3.300794","3.318954"," 0.1632167","1.365685","0.5412656","2.835132","2.578251","2.033043","3.313046","0.7375243","1.736234","1.962143","-2.840776e-01","1.5929903"," 0.23250295","0.6350473","2.487061","0.6453897","0.8693931","1.285335","0.5813344","0.9115209","2.743141","3.233720","-0.163492556"," 0.7690602","0.6204973","1.0345661","0.6988486"," 0.226416395","2.323095","2.820662","0.7646010","2.119559","1.900108","1.4219925","1.801479","2.491563","2.196960","3.552597"," 0.147259519","2.365738","1.850562"," 0.079319637","0.8237491"
"142","H","2.006925"," 0.982610545","1.8686069"," 0.4448396848","1.3178952","2.010966","1.3474192","3.2216757","2.674776","2.335031"," 1.94923107"," 1.21144837","1.8861835","3.115942"," 1.21757945","2.648754","1.0811276","1.7648124"," 1.41158602","3.624848","2.308417","2.027952","4.116672","1.3553573","1.3564590","3.224534","2.528979","3.298792","3.496567","1.2658554"," 0.338581033","1.7709927"," 0.9837884998"," 1.0796031931","2.430247","2.680462"," 1.241695335","1.7402167","2.034338","1.4980543","2.579093","1.8224232","2.679997","2.261448","0.82771218","1.5351901","4.220241","2.183993","3.919488","2.065192","1.0720089","1.8049635","1.7725380","1.7198733"," 0.87008287"," 0.595847405"," 1.1010467"," 1.3328673629","3.736146","2.577549","2.341406","2.298466","2.409939","1.3661248","0.9402501"," 1.690344134","1.06279586","3.895325","3.900043"," 1.1785645","2.377276","1.0972250","3.470849","3.398530","2.691195","4.333428","1.2009477","2.260085","2.526017"," 4.711265e-01","1.9515139"," 0.68769087","1.2824044","2.930593","1.4168435","1.4832077","2.105407","2.0054377","1.4882321","3.406932","3.870287"," 0.585776392"," 1.0898687","1.3579936","1.5595746","1.3199805"," 0.907067041","2.848120","3.257404","1.3253216","2.870235","2.539657","1.7800044","2.712650","2.927598","2.773954","4.228022"," 0.809277148","2.967275","2.203655"," 0.682771013","1.2984634"
"143","H","1.934175"," 0.680053144","1.4371509"," 0.3098109365","1.2289948","1.820840","1.2007690","1.8891706","2.715296","1.842113"," 2.02963324"," 0.94950151","1.4714437","3.223633"," 1.10273682","2.534674","0.8029496","1.6419007"," 1.05349519","3.517440","2.161356","2.035757","4.013057","1.3453311","1.3494560","3.105869","1.983155","3.196867","3.358179","1.4128460"," 0.283767513","1.5011089"," 0.6257920836"," 0.6065854802","2.226105","2.543884"," 0.977081161","1.6269657","1.843641","1.2497348","2.416718","1.6232001","2.425002","2.034496","0.71830013","1.3994946","4.162972","2.695060","3.779817","1.860991","1.1173136","1.5115370","1.4922502","1.4617925"," 0.70988877"," 1.358076503"," 1.0316194"," 1.2212004251","3.629026","2.395190","2.051591","2.241933","2.529615","1.4108536","1.1846847"," 1.861064283","0.85744497","3.869791","3.771774"," 0.9042436","2.071857","1.1675868","3.330892","3.023823","2.426263","2.957054","0.9287770","2.265222","2.420806"," 4.212885e-01","1.6733807"," 0.46467632","1.0586519","2.828533","1.1630055","1.4545966","1.870406","1.6224905","1.3294733","3.321418","3.787332"," 0.625113137"," 1.2462039","1.0532840","1.8964724","1.1082753"," 0.679537262","2.539840","3.605148","1.3670919","2.515933","2.289572","1.7338077","2.705446","2.997588","2.823746","4.048157"," 0.507968767","2.848529","2.401221"," 0.729351831","1.4037071"
"144","H","1.702287"," 0.308309918","1.2280584"," 0.0774750112","0.9756497","1.608392","0.9398688","2.2650965","2.270820","1.797721"," 1.54392309"," 0.74736967","1.3547420","2.815522"," 0.95957001","2.210351","0.7436602","1.3447422"," 0.79178422","3.149697","1.801926","1.711192","3.686285","1.1437706","1.0599677","3.020660","1.954662","2.937105","3.035372","1.0335569","-0.041825420","1.3800632"," 0.6208009948","-0.0671334910","2.000433","2.175136"," 0.352249711","1.3052757","1.587439","1.1335397","2.144162","1.5366715","2.265677","1.823360","0.51142363","1.1889712","3.908833","2.434984","3.460153","1.667790","0.8041088","1.3252669","1.1786939","1.1486840"," 1.59218946"," 1.090852116"," 0.7327671"," 0.9603130624","3.261582","2.143417","1.956289","1.923605","2.185148","0.9185461","1.8179372"," 1.301480906","0.74829619","3.606236","3.452455"," 0.8256413","2.036689","0.8490502","3.077655","2.815870","2.246667","3.479082","1.0264183","1.850681","2.086222"," 1.510376e-01","1.6159805"," 0.17219271","0.8584811","2.643706","0.8375564","1.1730888","1.600805","1.4576890","1.0687238","3.075766","3.481948"," 0.245846389"," 1.2047900","0.8460852","1.4215291","0.9427319"," 0.601611209","2.414896","2.937181","1.0305198","2.375483","1.936298","1.4076973","2.522736","2.665983","2.517405","3.810154"," 0.479233691","2.521635","2.062578"," 0.523346596","1.1021512"
"145","H","1.763757"," 0.747590424","1.0423451"," 0.4648229270","1.1124575","1.828549","1.1594373","1.9593236","2.416438","1.596653"," 0.49140532"," 0.88898042","1.4194907","2.905344"," 1.03768473","2.398601","0.8880086","1.5517389"," 0.91643941","3.371198","2.023218","2.108208","3.802944","1.3371378","1.0894531","3.152355","1.783848","2.949547","3.151395","1.6350722","-0.065927940","1.5237636"," 0.4817160027"," 0.0137808477","2.195952","2.301798"," 0.666250680","1.5427265","1.809783","1.2194013","2.369318","1.5754462","2.530512","2.033596","0.50787510","1.1093331","3.946981","2.142048","3.676648","1.780363","0.8755783","1.4409455","1.4616124","1.3565582"," 1.09337670"," 0.500221143"," 0.8985347"," 1.1540463847","3.565293","2.241186","2.116446","2.276063","2.542674","1.0230463","1.1768679"," 1.701256289","0.75252552","3.589443","3.576144"," 0.9822256","2.028396","0.9244004","3.158842","2.828737","2.544954","3.231920","1.0162903","2.040640","2.273540"," 1.730177e-01","1.6616699"," 0.73832852","0.9996569","2.476972","0.9883047","1.1601377","1.755415","1.3919161","1.2861561","3.230839","3.509529"," 0.377789088"," 1.4873237","0.8969614","1.3996421","1.0636474"," 0.745062704","2.615138","3.895517","1.2395055","2.475418","2.295566","1.5622725","2.850949","2.811475","2.698080","3.906895"," 0.659068217","2.653708","2.495840"," 0.287156687","1.2337714"
