order,biol.batch,time.point,condition,label,Id,exp.batch,sample_id,sample_type
46,3,6h,Control,1358BZU_0005_A1_9_6_Control,1358BZU_0005,1,1358BZU_0005_A1_9_6_Control,Sample
47,3,6h,Ikaros,1358BZU_0006_A1_9_6_Ikaros,1358BZU_0006,1,1358BZU_0006_A1_9_6_Ikaros,Sample
48,3,12h,Control,1358BZU_0007_A1_9_12_Control,1358BZU_0007,1,1358BZU_0007_A1_9_12_Control,Sample
49,3,12h,Ikaros,1358BZU_0008_A1_9_12_Ikaros,1358BZU_0008,1,1358BZU_0008_A1_9_12_Ikaros,Sample
50,3,NA,NA,1358BZU_0001QC_J1,NA,1,1358BZU_0001QC_J1,QC
51,3,2h,Ikaros,1358BZU_0016_A1_10_2_Ikaros,1358BZU_0016,1,1358BZU_0016_A1_10_2_Ikaros,Sample
52,3,2h,Control,1358BZU_0015_A1_10_2_Control,1358BZU_0015,1,1358BZU_0015_A1_10_2_Control,Sample
53,3,24h,Ikaros,1358BZU_0024_A1_10_24_Ikaros,1358BZU_0024,1,1358BZU_0024_A1_10_24_Ikaros,Sample
54,3,24h,Control,1358BZU_0023_A1_10_24_Control,1358BZU_0023,1,1358BZU_0023_A1_10_24_Control,Sample
55,3,0h,Control,1358BZU_0013_A1_10_0_Control,1358BZU_0013,1,1358BZU_0013_A1_10_0_Control,Sample
56,3,0h,Ikaros,1358BZU_0014_A1_10_0_Ikaros,1358BZU_0014,1,1358BZU_0014_A1_10_0_Ikaros,Sample
57,3,NA,NA,1358BZU_0001QC_K1,NA,1,1358BZU_0001QC_K1,QC
58,3,18h,Ikaros,1358BZU_0022_A1_10_18_Ikaros,1358BZU_0022,1,1358BZU_0022_A1_10_18_Ikaros,Sample
59,3,18h,Control,1358BZU_0021_A1_10_18_Control,1358BZU_0021,1,1358BZU_0021_A1_10_18_Control,Sample
60,3,12h,Control,1358BZU_0019_A1_10_12_Control,1358BZU_0019,1,1358BZU_0019_A1_10_12_Control,Sample
61,3,12h,Ikaros,1358BZU_0020_A1_10_12_Ikaros,1358BZU_0020,1,1358BZU_0020_A1_10_12_Ikaros,Sample
62,3,6h,Control,1358BZU_0017_A1_10_6_Control,1358BZU_0017,1,1358BZU_0017_A1_10_6_Control,Sample
63,3,6h,Ikaros,1358BZU_0018_A1_10_6_Ikaros,1358BZU_0018,1,1358BZU_0018_A1_10_6_Ikaros,Sample
64,3,NA,NA,1358BZU_0001QC_L1,NA,1,1358BZU_0001QC_L1,QC
65,3,NA,NA,1358BZU_0001Blank_A3,NA,1,1358BZU_0001Blank_A3,Blank
66,3,NA,NA,1358BZU_0001Blank_B3,NA,1,1358BZU_0001Blank_B3,Blank
